Rank,Person,Total Gross,Number of Movies,Average Gross,Highest Gross Movie,Gross
559,Sarah Smith,$46.5,1,$46.5,Arthur Christmas,$46.5
560,Christopher Guest,$45.7,5,$9.1,Best in Show,$18.7
561,Michel Hazanavicius,$45.1,3,$15.0,The Artist,$44.7
562,Dan Bradley,$44.8,1,$44.8,Red Dawn (2012),$44.8
563,Elizabeth Allen (II),$44.8,2,$22.4,Ramona and Beezus,$26.2
564,James Gray,$44.3,6,$7.4,We Own the Night,$28.6
565,Don Roos,$44.0,4,$11.0,Bounce,$36.8
566,Chris Stokes,$44.0,3,$14.7,You Got Served,$40.4
567,Diane Keaton,$44.0,2,$22.0,Hanging Up,$36.1
568,Karyn Kusama,$43.9,4,$11.0,Aeon Flux,$25.9
569,Shana Feste,$43.8,3,$14.6,Endless Love,$23.4
570,Derek Cianfrance,$43.7,3,$14.6,The Place Beyond the Pines,$21.4
571,Chris Kentis,$43.4,2,$21.7,Open Water,$30.6
572,Ric Roman Waugh,$42.9,1,$42.9,Snitch,$42.9
573,Davis Guggenheim,$42.9,6,$7.2,An Inconvenient Truth,$24.1
574,Michael Dougherty,$42.7,1,$42.7,Krampus,$42.7
575,Dan Gilroy,$42.5,2,$21.3,Nightcrawler,$32.4
576,Drew Goddard,$42.1,1,$42.1,The Cabin in the Woods,$42.1
577,Courtney Solomon,$42.0,3,$14.0,An American Haunting,$16.3
578,Morgan Spurlock,$41.5,6,$6.9,One Direction: This is Us,$28.9
579,Todd Field,$41.4,2,$20.7,In the Bedroom,$35.9
580,Ken Scott,$41.2,3,$13.7,Delivery Man,$30.7
581,Mike Leigh,$41.2,11,$3.7,Secrets & Lies,$13.4
582,Daniel Stamm,$41.0,1,$41.0,The Last Exorcism,$41.0
583,George Gallo,$41.0,6,$6.8,Double Take,$29.8
584,Nicole Holofcener,$40.5,5,$8.1,Enough Said,$17.6
585,Michael Cuesta,$39.9,5,$8.0,American Assassin,$36.2
586,Adam Wingard,$39.6,3,$13.2,Blair Witch,$20.8
587,Steven Antin,$39.4,1,$39.4,Burlesque,$39.4
588,Oliver Parker,$38.8,5,$7.8,Ideal Husband,$18.5
589,Hayao Miyazaki,$38.6,5,$7.7,Ponyo,$15.1
590,Michael Radford,$38.5,7,$5.5,Il Postino,$21.8
591,Carl Rinsch,$38.4,1,$38.4,47 Ronin,$38.4
592,Justin Chadwick,$37.9,4,$9.5,The Other Boleyn Girl,$26.8
593,Todd Graff,$37.8,3,$12.6,Joyful Noise,$30.9
594,Nicolas Winding Refn,$37.3,5,$7.5,Drive (2011),$35.1
595,Christian E. Christiansen,$37.3,1,$37.3,The Roommate,$37.3
596,Steven Lisberger,$37.2,3,$12.4,Tron,$33.0
597,Camille Delamarre,$36.4,2,$18.2,Brick Mansions,$20.4
598,Neil Nightingale,$36.1,1,$36.1,Walking with Dinosaurs,$36.1
599,Peter Landesman,$36.0,3,$12.0,Concussion (2015),$34.5
600,Robert Lorenz,$35.8,1,$35.8,Trouble with the Curve,$35.8
601,Jake Schreier,$35.3,2,$17.7,Paper Towns,$32.0
602,Daniel Barnz,$35.1,3,$11.7,Beastly,$27.9
603,Scott Speer,$35.1,1,$35.1,Step Up Revolution,$35.1
604,Todd Strauss-Schulson,$35.1,1,$35.1,Harold & Kumar 3D,$35.1
605,Jeff Nichols,$34.8,5,$7.0,Mud,$21.6
606,Douglas McGrath,$34.8,5,$7.0,Emma,$22.2
607,Mark Romanek,$34.0,2,$17.0,One Hour Photo,$31.6
608,Ari Sandel,$34.0,1,$34.0,The DUFF,$34.0
609,Drew Dowdle,$33.6,1,$33.6,Devil,$33.6
610,Allen Coulter,$33.5,2,$16.7,Remember Me,$19.1
611,Gene Wilder,$33.3,2,$16.7,The Woman in Red,$25.3
612,Dean Devlin,$33.1,1,$33.1,Geostorm,$33.1
613,Jason Winer,$33.0,1,$33.0,Arthur (2011),$33.0
614,Tomas Alfredson,$32.9,3,$11.0,"Tinker, Tailor, Soldier, Spy",$24.1
615,Jim Jarmusch,$32.6,12,$2.7,Broken Flowers,$13.7
616,Joshua Michael Stern,$32.4,2,$16.2,Swing Vote,$16.3
617,Adam Brooks,$32.4,3,$10.8,"Definitely, Maybe",$32.2
618,Susanna White,$32.2,2,$16.1,Nanny McPhee Returns,$29.0
619,Jim Field Smith,$32.0,1,$32.0,She's Out of My League,$32.0
620,Mark Tonderai,$31.6,1,$31.6,House at the End of The Street,$31.6
621,Joe Nussbaum,$31.5,3,$10.5,Sydney White,$11.9
622,Philip Kaufman,$31.2,2,$15.6,The Right Stuff,$21.2
623,Scott Frank,$30.9,2,$15.5,A Walk Among the Tombstones,$26.3
624,James Ponsoldt,$30.8,5,$6.2,The Circle,$20.5
625,Stephan Elliot,$30.4,4,$7.6,Eye of the Beholder,$16.5
626,Lone Scherfig,$30.3,5,$6.1,One Day,$13.8
627,Andrew Erwin,$30.2,3,$10.1,Woodlawn,$14.4
628,Jon Erwin,$30.2,3,$10.1,Woodlawn,$14.4
629,J.A. Bayona,$29.9,3,$10.0,The Impossible,$19.0
630,Juan Carlos Fresnadillo,$29.0,3,$9.7,28 Weeks Later,$28.6
631,Noah Baumbach,$28.9,9,$3.2,While We're Young,$7.6
632,Ed Harris,$28.8,2,$14.4,Appaloosa,$20.2
633,Greg Coolidge,$28.4,1,$28.4,Employee of the Month,$28.4
634,David Gelb,$28.4,2,$14.2,The Lazarus Effect,$25.8
635,Whit Stillman,$28.3,6,$4.7,Love & Friendship,$14.0
636,Jesse Peretz,$28.2,4,$7.0,Our Idiot Brother,$24.8
637,Peter Medak,$27.2,6,$4.5,Species II,$19.2
638,Jessica Bendinger,$26.9,1,$26.9,Stick It,$26.9
639,Leon Ichaso,$26.5,4,$6.6,Sugar Hill,$18.2
640,Lisa Cholodenko,$26.4,3,$8.8,The Kids Are All Right,$20.8
641,Tom Gormican,$26.1,1,$26.1,That Awkward Moment,$26.1
642,Craig Mazin,$25.9,2,$12.9,Superhero Movie,$25.9
643,Andrew J. Cohen,$25.6,1,$25.6,The House,$25.6
644,Alex Garland,$25.4,1,$25.4,Ex Machina,$25.4
645,Gary McKendry,$25.1,1,$25.1,Killer Elite,$25.1
646,Erik White,$24.7,1,$24.7,Lottery Ticket,$24.7
647,Joseph Gordon-Levitt,$24.5,1,$24.5,Don Jon,$24.5
648,John Gray,$24.1,3,$8.0,Glimmer Man,$20.4
649,Troy Nixey,$24.0,1,$24.0,Don't Be Afraid of the Dark,$24.0
650,Christian Alvart,$23.6,2,$11.8,Case 39,$13.3
651,Alister Grierson,$23.2,1,$23.2,Sanctum,$23.2
652,Ice Cube,$23.0,1,$23.0,Players Club,$23.0
653,Wally Pfister,$23.0,1,$23.0,Transcendence,$23.0
654,Uwe Boll,$22.6,4,$5.7,House of the Dead,$10.2
655,Don Scardino,$22.5,1,$22.5,Burt Wonderstone,$22.5
656,Mark Brown,$22.4,2,$11.2,Two Can Play That Game,$22.2
657,Justin Zackham,$21.8,1,$21.8,The Big Wedding,$21.8
658,Chris Gorak,$21.5,2,$10.8,The Darkest Hour,$21.4
