Rank,Person,Total Gross,Number of Movies,Average Gross,Highest Gross Movie,Gross
291,Rob Cowan,$411.4,14,$29.4,The Conjuring,$137.4
292,Jennifer Fox,$408.4,12,$34.0,The Bourne Legacy,$113.2
293,Bill Gerber,$407.6,12,$34.0,Gran Torino,$148.1
294,Andrew Panay,$406.9,10,$40.7,Wedding Crashers,$209.3
295,Michelle Murdocca,$403.1,3,$134.4,Hotel Transylvania 2,$169.7
296,Terry Rossio,$394.4,3,$131.5,Pirates of the Caribbean 4,$241.1
297,Robert Smigel,$392.2,3,$130.7,Hotel Transylvania 2,$169.7
298,Sidney Kimmel,$392.1,28,$14.0,The Lincoln Lawyer,$58.0
299,Paul Hall,$390.5,12,$32.5,Shaft,$70.3
300,Palak Patel,$390.2,2,$195.1,Oz The Great and Powerful,$234.9
301,John DeLuca,$388.8,3,$129.6,Pirates of the Caribbean 4,$241.1
302,Rick Jaffa,$385.3,2,$192.7,Dawn of the Planet of the Apes,$208.5
303,Amanda Silver,$385.3,2,$192.7,Dawn of the Planet of the Apes,$208.5
304,Spike Jonze,$384.9,6,$64.2,Jackass 3-D,$117.2
305,Brett Ratner,$383.9,8,$48.0,Horrible Bosses,$117.5
306,Leonardo DiCaprio,$382.2,10,$38.2,The Wolf of Wall Street,$116.9
307,Shawn Levy,$380.5,6,$63.4,Night at the Museum: Secret of the Tomb,$113.7
308,Mark O'Keefe,$380.2,2,$190.1,Bruce Almighty,$242.8
309,Paul Weitz,$377.7,6,$62.9,American Pie 2,$145.1
310,Mike Nichols,$377.0,11,$34.3,Birdcage,$124.1
311,Riza Aziz,$372.2,6,$62.0,Daddy's Home,$150.4
312,Joey McFarland,$372.2,6,$62.0,Daddy's Home,$150.4
313,Stephen Levinson,$370.3,7,$52.9,Lone Survivor,$125.1
314,Brad Lewis,$369.9,3,$123.3,Ratatouille,$206.4
315,Lawrence Kasdan,$368.3,13,$28.3,Bodyguard,$122.0
316,Molly Smith,$368.2,4,$92.0,The Blind Side,$256.0
317,Ryan Reynolds,$363.1,1,$363.1,Deadpool,$363.1
318,Sherry Lansing,$362.5,6,$60.4,Fatal Attraction,$156.6
319,Alison Greenspan,$362.2,10,$36.2,The Lucky One,$60.5
320,Scott Niemeyer,$362.2,12,$30.2,Pitch Perfect,$65.0
321,Walter Hill,$362.0,10,$36.2,Alien,$80.9
322,Leigh Whannell,$360.7,6,$60.1,Saw II,$87.0
323,Angelina Jolie,$357.6,3,$119.2,Maleficent,$241.4
324,Jeff Tremaine,$356.3,4,$89.1,Jackass 3-D,$117.2
325,Jim Carrey,$353.2,2,$176.6,Bruce Almighty,$242.8
326,Jason Dean Hall,$350.1,1,$350.1,American Sniper,$350.1
327,Chris Wedge,$349.9,2,$174.9,Ice Age 2,$195.3
328,Gordon Carroll,$349.6,7,$49.9,Alien,$80.9
