Rank,Person,Total Gross,Number of Movies,Average Gross,Highest Gross Movie,Gross
869,Lone Scherfig,$4.8,2,$2.4,Italian for Beginners,$4.5
870,John Wells,$4.4,1,$4.4,The Company Men,$4.4
871,Jay Baruchel,$4.2,1,$4.2,Goon,$4.2
872,Steve McQueen (II),$4.1,2,$2.0,Shame,$3.9
873,Brit Marling,$4.0,3,$1.3,The East,$2.3
874,Tod Williams,$4.0,2,$2.0,The Door in the Floor,$3.9
875,Warren Beatty,$3.7,1,$3.7,Rules Don't Apply,$3.7
876,Adam J. Braff,$3.6,1,$3.6,Wish I Was Here,$3.6
877,Michael Dowse,$3.6,2,$1.8,The Grand Seduction,$3.4
878,Lake Bell,$3.2,2,$1.6,In a World,$3.0
879,Jeremy Saulnier,$3.2,1,$3.2,Green Room,$3.2
880,Gillian Robespierre,$3.1,1,$3.1,Obvious Child,$3.1
881,Rashida Jones,$3.1,1,$3.1,Celeste and Jesse Forever,$3.1
882,Glenn Close,$3.0,1,$3.0,Albert Nobbs,$3.0
883,Vincent Gallo,$2.7,2,$1.4,Buffalo '66,$2.4
884,Magaret Nagle,$2.7,1,$2.7,The Good Lie,$2.7
885,Zal Batmanglij,$2.7,2,$1.4,The East,$2.3
886,Yasmina Reza,$2.5,1,$2.5,Carnage (2011),$2.5
887,David Michod,$2.5,3,$847k,The Rover,$1.1
888,Zoe Kazan,$2.5,1,$2.5,Ruby Sparks,$2.5
889,Nick Swardson,$2.5,1,$2.5,Bucky Larson,$2.5
890,Tommy Lee Jones,$2.4,1,$2.4,The Homesman,$2.4
891,Denis Villeneuve,$2.3,2,$1.2,Incendies (U.S. only),$2.1
892,Eran Creevy,$2.3,2,$1.1,Collide,$2.3
893,Lynne Ramsay,$2.2,3,$741k,We Need to Talk About Kevin,$1.7
894,Tom DiCillo,$2.2,5,$431k,Living in Oblivion,$1.1
895,Joseph Cedar,$2.1,3,$715k,Footnote,$2.0
896,Lynn Shelton,$2.1,4,$522k,Your Sister's Sister,$1.6
897,Gregg Araki,$2.0,6,$340k,Mysterious Skin,$713k
898,Philippe Falardeau,$2.0,1,$2.0,Monsieur Lazhar (U.S.-only),$2.0
899,Timur Bekmambetov,$2.0,2,$977k,Night Watch (Nochnoi Dozor),$1.5
900,Rory Kinnear,$1.7,1,$1.7,We Need to Talk About Kevin,$1.7
901,Marc Abraham,$1.6,1,$1.6,I Saw the Light,$1.6
902,George Hickenlooper,$1.6,3,$540k,Hearts of Darkness,$1.3
903,Sarah Polley,$1.6,1,$1.6,Stories We Tell,$1.6
904,David Gordon Green,$1.5,5,$310k,All the Real Girls,$550k
905,Charles Ferguson,$1.4,1,$1.4,No End in Sight,$1.4
906,Ole Bornedal,$1.4,3,$475k,Nightwatch,$1.2
907,Kelly Reichardt,$1.4,4,$351k,Wendy and Lucy,$866k
908,Mike Cahill,$1.3,1,$1.3,Another Earth,$1.3
909,Will Packer,$1.2,1,$1.2,Trois,$1.2
910,Michael Cuesta,$1.1,2,$573k,L.I.E.,$1.1
911,Atom Egoyan,$1.1,1,$1.1,The Captive,$1.1
912,Andrea Seigel,$1.1,1,$1.1,Laggies,$1.1
913,Jim Wilson,$1.1,1,$1.1,50 to 1,$1.1
914,Nanette Burstein,$942k,1,$942k,American Teen,$942k
915,Gregory Jacobs,$929k,1,$929k,Criminal,$929k
916,Nicolas Winding Refn,$915k,3,$305k,Only God Forgives,$779k
917,Azazel Jacobs,$756k,2,$378k,Terri,$656k
918,Finn Taylor,$735k,3,$245k,Dream with the Fishes,$544k
919,Leonardo DiCaprio,$707k,1,$707k,The 11th Hour,$707k
920,Lee Daniels,$693k,1,$693k,The Paperboy,$693k
921,Jacob Aaron Estes,$668k,2,$334k,Mean Creek,$604k
922,Sebastián Silva,$656k,2,$328k,The Maid,$577k
923,Mark S. Waters,$626k,1,$626k,House of Yes,$626k
924,David Chase,$611k,1,$611k,Not Fade Away,$611k
925,Ned Benson,$588k,1,$588k,The Disappearance of Eleanor Rigby,$588k
926,Madonna,$583k,1,$583k,W.E.,$583k
927,Natalie Portman,$572k,1,$572k,A Tale of Love and Darkness,$572k
928,Neil Jordan,$550k,1,$550k,Ondine,$550k
929,Josh Radnor,$543k,2,$272k,Liberal Arts,$327k
930,Larry Charles,$534k,1,$534k,Masked and Anonymous,$534k
931,Joe Swanberg,$521k,5,$104k,Drinking Buddies,$343k
932,Bobcat Goldthwait,$475k,4,$119k,World's Greatest Dad,$222k
933,James Ponsoldt,$401k,2,$201k,Smashed,$377k
934,David Duchovny,$389k,1,$389k,House of D,$389k
935,Spencer Susser,$383k,1,$383k,Hesher,$383k
936,Gary Hawkins,$373k,1,$373k,Joe,$373k
937,Ava DuVernay,$373k,2,$186k,Middle of Nowhere (2012),$237k
938,Ti West,$348k,6,$58.1k,The House of the Devil,$101k
939,Spike Lee,$339k,1,$339k,Red Hook Summer,$339k
940,Anthony Russo,$337k,1,$337k,Welcome to Collinwood,$337k
941,Joe Russo,$337k,1,$337k,Welcome to Collinwood,$337k
942,Jose Padilha,$326k,3,$109k,Bus 174,$217k
943,Josh Sternfeld,$319k,1,$319k,Winter Solstice,$319k
944,Angelina Jolie,$304k,1,$304k,In the Land of Blood and Honey,$304k
945,Casey Affleck,$255k,1,$255k,Gerry,$255k
946,Demetri Martin,$255k,1,$255k,Dean,$255k
947,Jesse Peretz,$245k,2,$123k,The Chateau,$202k
948,Gareth Edwards,$237k,1,$237k,Monsters,$237k
949,Nimród Antal,$237k,1,$237k,Kontroll,$237k
950,Alex Ross Perry,$219k,2,$110k,Listen Up Philip,$200k
951,John Curran,$217k,1,$217k,The Killer Inside Me,$217k
952,Jee-woon Kim,$201k,2,$101k,"The Good, the Bad, the Weird",$128k
953,Edward Burns,$184k,3,$61.3k,The Groomsmen,$129k
954,Keith Bunin,$174k,1,$174k,Horns,$174k
955,Michael Moore,$149k,1,$149k,Michael Moore In TrumpLand,$149k
956,Luke Wilson,$127k,1,$127k,The Wendell Baker Story,$127k
957,Jake Johnson,$119k,1,$119k,Digging for Fire,$119k
958,Rob Reiner,$102k,1,$102k,The Magic of Belle Isle,$102k
959,Chris Gorak,$65.0k,1,$65.0k,Right at Your Door,$65.0k
960,Steven Brill,$59.2k,1,$59.2k,Walk of Shame,$59.2k
961,William H. Macy,$58.3k,1,$58.3k,Rudderless,$58.3k
962,James Franco,$56.0k,2,$28.0k,Child of God,$39.3k
963,Rodrigo Cortes,$53.0k,2,$26.5k,Red Lights (2012),$52.6k
964,Asger Leth,$48.8k,1,$48.8k,Ghosts of Cite Soleil,$48.8k
965,Goro Miyazaki,$48.5k,1,$48.5k,Tales from Earthsea,$48.5k
966,John Schultz,$44.5k,1,$44.5k,Bandwagon,$44.5k
967,Melanie Laurent,$42.3k,1,$42.3k,Breathe,$42.3k
968,Jay Chandrasekhar,$41.6k,1,$41.6k,The Slammin' Salmon,$41.6k
969,John Gray,$31.1k,1,$31.1k,White Irish Drinkers,$31.1k
970,Lonzo Nzekwe,$15.8k,1,$15.8k,Anchor Baby,$15.8k
971,Joseph Schneider,$15.0k,1,$15.0k,I'm Not Jesus Mommy,$15.0k
972,Stewart Wade,$13.9k,2,$6.9k,Tru Loved,$9.5k
973,Rupert Wyatt,$13.4k,1,$13.4k,The Escapist,$13.4k
974,Ryan Piers Williams,$11.8k,1,$11.8k,The Dry Land,$11.8k
975,Anthony Hopkins,$9.0k,1,$9.0k,Slipstream,$9.0k
976,James Watkins,$7.3k,1,$7.3k,Eden Lake,$7.3k
977,Famke Janssen,$5.0k,1,$5.0k,Bringing Up Bobby,$5.0k
978,Amy Heckerling,$3.4k,1,$3.4k,Vamps,$3.4k
979,Catherine Hardwicke,$3.1k,1,$3.1k,Plush,$3.1k
