Rank,Person,Total Gross,Number of Movies,Average Gross,Highest Gross Movie,Gross
350,Seth Green,$962.8,20,$48.1,Goldmember,$213.3
351,Amanda Seyfried,$959.1,24,$40.0,Les Miserables,$148.8
352,Ashton Kutcher,$957.2,19,$50.4,Cheaper by the Dozen,$138.6
353,Heath Ledger,$955.6,15,$63.7,The Dark Knight,$534.9
354,Jessica Alba,$952.3,24,$39.7,Fantastic Four (2005),$154.7
355,Zooey Deschanel,$951.2,26,$36.6,Elf,$173.4
356,Naomi Watts,$949.5,38,$25.0,King Kong,$218.1
357,Randy Quaid,$948.7,38,$25.0,Independence Day,$306.2
358,Benicio Del Toro,$948.5,31,$30.6,Guardians of the Galaxy,$333.2
359,Jennifer Connelly,$945.9,33,$28.7,A Beautiful Mind,$170.7
360,Ron Perlman,$942.0,23,$41.0,Fantastic Beasts and Where To Find Them,$234.0
361,Billy Crudup,$940.7,27,$34.8,Justice League,$201.4
362,Jake Gyllenhaal,$933.2,27,$34.6,The Day After Tomorrow,$186.7
363,Johnny Knoxville,$931.2,16,$58.2,Ninja Turtles,$191.2
364,Hugh Grant,$930.5,28,$33.2,Notting Hill,$116.1
365,Jason Segel,$929.4,15,$62.0,Despicable Me,$251.5
366,Julie Andrews,$928.2,14,$66.3,Despicable Me 3,$264.5
367,Winona Ryder,$916.6,36,$25.5,Mr. Deeds,$126.3
368,Joel David Moore,$915.1,14,$65.4,Avatar,$760.5
369,Ellen DeGeneres,$912.6,6,$152.1,Finding Dory,$486.3
370,Casey Affleck,$911.5,23,$39.6,Interstellar,$188.0
371,Rob Riggle,$906.8,12,$75.6,The Lorax,$214.0
372,Dave Franco,$906.8,11,$82.4,The LEGO Movie,$257.8
373,Charlie Sheen,$905.9,31,$29.2,Platoon,$138.5
374,Penelope Cruz,$904.6,36,$25.1,Pirates of the Caribbean 4,$241.1
375,Thandie Newton,$904.0,23,$39.3,Mission: Impossible II,$215.4
376,Kenneth Branagh,$901.4,19,$47.4,Harry Potter / Chamber of Secrets,$262.0
377,Cillian Murphy,$899.8,18,$50.0,Inception,$292.6
378,Jason Sudeikis,$896.9,18,$49.8,We're the Millers,$150.4
379,Rob Schneider,$895.1,17,$52.7,Big Daddy,$163.5
380,Tim Robbins,$890.5,38,$23.4,War of the Worlds,$234.3
381,Hugh Laurie,$890.3,17,$52.4,Monsters Vs. Aliens,$198.4
382,Nicholas Hoult,$887.6,14,$63.4,X-Men: Days of Future Past,$233.9
383,Diego Luna,$887.0,15,$59.1,Rogue One,$532.2
384,Amanda Peet,$882.0,26,$33.9,2012,$166.1
385,Angela Bassett,$881.1,25,$35.2,Green Lantern,$116.6
386,Aaron Johnson,$874.3,12,$72.9,Avengers: Age of Ultron,$459.0
387,Eva Mendes,$873.4,19,$46.0,Hitch,$179.5
388,Carrie-Anne Moss,$872.5,17,$51.3,The Matrix Reloaded,$281.6
