,Average_Running_Time,Dataset,MAE,Precision,RMSE,Recall,Running_Time
0,40.125,100k,0.727877155096,0.605095541401,0.92146408461,0.299363057325,11
1,95.725,250k,0.695922229633,0.666781056966,0.877392524612,0.417638984214,25
2,187.775,500k,0.682079091827,0.673812154696,0.866320760195,0.34364640884,51
3,267.5,750k,0.673057660818,0.706050841389,0.855571972987,0.294844253491,81
4,354.925,1M,0.67153048192,0.701094164456,0.853174342777,0.238726790451,107
