,FCP,MAE,RMSE,k,similarity_metric,user-based?,algorithm
59,0.560104837752,0.832951146497,1.04160336697,100,pearson,False,100k_KNNBasic_Results.csv
60,0.686402672343,0.818229204959,1.03201832099,10,pearson_baseline,True,100k_KNNBasic_Results.csv
61,0.693892357,0.807966680542,1.01907208361,20,pearson_baseline,True,100k_KNNBasic_Results.csv
62,0.69556981137,0.806343794967,1.01675714587,30,pearson_baseline,True,100k_KNNBasic_Results.csv
63,0.696077094095,0.806050335854,1.01623860109,40,pearson_baseline,True,100k_KNNBasic_Results.csv
64,0.696500167463,0.80610101196,1.01628210107,50,pearson_baseline,True,100k_KNNBasic_Results.csv
65,0.696171155271,0.806272193659,1.01644362315,60,pearson_baseline,True,100k_KNNBasic_Results.csv
66,0.696122501716,0.806349209604,1.01651905677,70,pearson_baseline,True,100k_KNNBasic_Results.csv
67,0.695893714896,0.806418273623,1.01657654769,80,pearson_baseline,True,100k_KNNBasic_Results.csv
68,0.695884112624,0.806503675231,1.01666464479,90,pearson_baseline,True,100k_KNNBasic_Results.csv
69,0.69582818376,0.806544441508,1.01669845226,100,pearson_baseline,True,100k_KNNBasic_Results.csv
70,0.638246161855,0.802722635363,1.02634625559,10,pearson_baseline,False,100k_KNNBasic_Results.csv
71,0.64764049557,0.795704832165,1.01319535102,20,pearson_baseline,False,100k_KNNBasic_Results.csv
72,0.65140187794,0.795690624557,1.01077989799,30,pearson_baseline,False,100k_KNNBasic_Results.csv
73,0.652728783267,0.796431172785,1.01023009721,40,pearson_baseline,False,100k_KNNBasic_Results.csv
74,0.652711569716,0.797251162989,1.01037037581,50,pearson_baseline,False,100k_KNNBasic_Results.csv
75,0.652245006825,0.797847026187,1.01056705069,60,pearson_baseline,False,100k_KNNBasic_Results.csv
76,0.651224108835,0.798373727308,1.01081835136,70,pearson_baseline,False,100k_KNNBasic_Results.csv
77,0.650597487249,0.798638656201,1.01098343026,80,pearson_baseline,False,100k_KNNBasic_Results.csv
78,0.649988639977,0.798853381533,1.0111403186,90,pearson_baseline,False,100k_KNNBasic_Results.csv
79,0.649382967134,0.798992695552,1.01124625954,100,pearson_baseline,False,100k_KNNBasic_Results.csv
80,0.660674825161,0.789306336442,0.996885373449,10,cosine,True,100k_KNNWithMeans_Results.csv
81,0.67843051405,0.771099757459,0.974667215458,20,cosine,True,100k_KNNWithMeans_Results.csv
82,0.686018622239,0.76474483683,0.967811147006,30,cosine,True,100k_KNNWithMeans_Results.csv
83,0.687746910687,0.762345519849,0.964849957996,40,cosine,True,100k_KNNWithMeans_Results.csv
84,0.6879965756,0.760795376697,0.963372631636,50,cosine,True,100k_KNNWithMeans_Results.csv
85,0.688312199226,0.759964489142,0.962793727582,60,cosine,True,100k_KNNWithMeans_Results.csv
86,0.688036951639,0.759737657091,0.962725779787,70,cosine,True,100k_KNNWithMeans_Results.csv
87,0.687570790753,0.759533968722,0.962855167445,80,cosine,True,100k_KNNWithMeans_Results.csv
88,0.68691128393,0.759591112759,0.963149574614,90,cosine,True,100k_KNNWithMeans_Results.csv
89,0.686483480446,0.759726122147,0.96353758721,100,cosine,True,100k_KNNWithMeans_Results.csv
90,0.663764778471,0.777981305714,0.990392442199,10,cosine,False,100k_KNNWithMeans_Results.csv
91,0.68006955362,0.757561443282,0.963579712044,20,cosine,False,100k_KNNWithMeans_Results.csv
92,0.686816989144,0.751198230176,0.955521512217,30,cosine,False,100k_KNNWithMeans_Results.csv
93,0.689812367032,0.74837892955,0.952163518859,40,cosine,False,100k_KNNWithMeans_Results.csv
94,0.691527258804,0.747398319127,0.950615707335,50,cosine,False,100k_KNNWithMeans_Results.csv
95,0.692543485315,0.746822420864,0.949931461965,60,cosine,False,100k_KNNWithMeans_Results.csv
96,0.693071468586,0.746659158015,0.949612828364,70,cosine,False,100k_KNNWithMeans_Results.csv
97,0.693275553526,0.746634686864,0.949532687454,80,cosine,False,100k_KNNWithMeans_Results.csv
98,0.693267671937,0.74693095938,0.949823882067,90,cosine,False,100k_KNNWithMeans_Results.csv
99,0.693311062906,0.747148700621,0.950050771435,100,cosine,False,100k_KNNWithMeans_Results.csv
