,RMSE,bsl_options,params,scores
19,0.8965393138636543,"{'method': 'sgd', 'reg': 0.02, 'learning_rate': 0.005, 'n_epochs': 100}","{'bsl_options': {'method': 'sgd', 'reg': 0.02, 'learning_rate': 0.005, 'n_epochs': 100}}","{'RMSE': 0.89653931386365426, 'MAE': 0.69037744465839479, 'FCP': 0.66551239238448923}"
20,0.8985366419787665,"{'method': 'sgd', 'reg': 0.02, 'learning_rate': 0.01, 'n_epochs': 10}","{'bsl_options': {'method': 'sgd', 'reg': 0.02, 'learning_rate': 0.01, 'n_epochs': 10}}","{'RMSE': 0.89853664197876648, 'MAE': 0.69362634917262178, 'FCP': 0.66241327476061573}"
21,0.8952308641260064,"{'method': 'sgd', 'reg': 0.02, 'learning_rate': 0.01, 'n_epochs': 20}","{'bsl_options': {'method': 'sgd', 'reg': 0.02, 'learning_rate': 0.01, 'n_epochs': 20}}","{'RMSE': 0.89523086412600639, 'MAE': 0.69022788308700678, 'FCP': 0.66489018775485342}"
22,0.8974189548711777,"{'method': 'sgd', 'reg': 0.02, 'learning_rate': 0.01, 'n_epochs': 50}","{'bsl_options': {'method': 'sgd', 'reg': 0.02, 'learning_rate': 0.01, 'n_epochs': 50}}","{'RMSE': 0.89741895487117773, 'MAE': 0.69090397146126148, 'FCP': 0.66526088671691219}"
23,0.902570165887689,"{'method': 'sgd', 'reg': 0.02, 'learning_rate': 0.01, 'n_epochs': 100}","{'bsl_options': {'method': 'sgd', 'reg': 0.02, 'learning_rate': 0.01, 'n_epochs': 100}}","{'RMSE': 0.90257016588768901, 'MAE': 0.69386792625402138, 'FCP': 0.66374510634530726}"
24,0.9432729940965257,"{'method': 'sgd', 'reg': 0.05, 'learning_rate': 0.001, 'n_epochs': 10}","{'bsl_options': {'method': 'sgd', 'reg': 0.05, 'learning_rate': 0.001, 'n_epochs': 10}}","{'RMSE': 0.94327299409652565, 'MAE': 0.73793341291335246, 'FCP': 0.65302462063301447}"
25,0.9248064181331734,"{'method': 'sgd', 'reg': 0.05, 'learning_rate': 0.001, 'n_epochs': 20}","{'bsl_options': {'method': 'sgd', 'reg': 0.05, 'learning_rate': 0.001, 'n_epochs': 20}}","{'RMSE': 0.92480641813317344, 'MAE': 0.71906700498740539, 'FCP': 0.6543795083199675}"
26,0.9060857332578862,"{'method': 'sgd', 'reg': 0.05, 'learning_rate': 0.001, 'n_epochs': 50}","{'bsl_options': {'method': 'sgd', 'reg': 0.05, 'learning_rate': 0.001, 'n_epochs': 50}}","{'RMSE': 0.90608573325788622, 'MAE': 0.70167255473777113, 'FCP': 0.65881087493172719}"
27,0.8974955417667291,"{'method': 'sgd', 'reg': 0.05, 'learning_rate': 0.001, 'n_epochs': 100}","{'bsl_options': {'method': 'sgd', 'reg': 0.05, 'learning_rate': 0.001, 'n_epochs': 100}}","{'RMSE': 0.89749554176672908, 'MAE': 0.69373366149694959, 'FCP': 0.66273007053732969}"
28,0.9065669384683691,"{'method': 'sgd', 'reg': 0.05, 'learning_rate': 0.005, 'n_epochs': 10}","{'bsl_options': {'method': 'sgd', 'reg': 0.05, 'learning_rate': 0.005, 'n_epochs': 10}}","{'RMSE': 0.90656693846836911, 'MAE': 0.70156926958347454, 'FCP': 0.65850904495059959}"
